cell_id,cell_xcrd,cell_ycrd,count_cust
84183215,127.08329,37.312668,12461.306
83895245,127.073105,37.31804,9266.882
83975238,127.07593,37.31715,8375.573
84135218,127.0816,37.312664,7751.544
83511270,127.059555,37.318443,7289.718
83815252,127.070274,37.31893,7020.95
83703250,127.066345,37.31486,6897.198
84103226,127.08045,37.31536,6018.023
83591256,127.0624,37.314396,5815.6230000000005
83895244,127.073105,37.31759,5663.007
83895235,127.07313,37.313534,3842.038
83751246,127.06805,37.314415,3794.657
84007224,127.07709,37.311745,3792.467
83991226,127.07652,37.312195,3638.535
83879240,127.072556,37.315334,3599.5130000000004
83767258,127.06857,37.32028,3260.882
83623269,127.06349,37.32116,3210.984
83671257,127.06521,37.317112,2996.3810000000003
83527278,127.0601,37.3225,2865.301
83991236,127.07649,37.3167,2824.947
