,수지제일아이조움,성복역롯데캐슬파크나인1차,성복역 롯데캐슬 골드타운,성동마을 LG빌리지2차,성복역 롯데캐슬 클라시엘(파크나인2차),성동마을 강남빌리지,성남마을 벽산첼시빌2,버들치마을 성복 힐스테이트 1차,성복역KCC스위첸,용인성복서희스타힐스애비뉴,푸른마을 푸르지오아파트,버들치마을 경남아너스빌 1차,버들치마을 경남아너스빌 2차,성동마을 LG빌리지1차,버들치마을 성복자이1차,버들치마을 성복 힐스테이트 2차,성동마을 LG빌리지3차,버들치마을 성복자이2차,성동마을 수지자이2차,성동마을 LG빌리지 6차,버들치마을 성복 힐스테이트 3차,성동마을 수지자이아파트,용인 성복아이파크,아이비힐,수지성복 효성해링턴코트,성복동,앱실행수
0,255.08582730138747,863.4007775689785,156.86805748137976,697.8363353494196,858.7682590305457,598.6994946941285,1600.0440639432618,1222.3071337800948,957.8514137939286,1114.4418434624997,460.2302645153893,1853.3375982351863,2006.7566816704125,853.0805260387423,1719.0958104673816,1793.3194476508452,1205.8825091006408,2067.531556549155,1580.5000660128337,1314.7612567310282,2029.2431364512786,1601.9247080177472,2184.940084012756,2436.6383709042425,3088.234835409952,1357.777840183628,12461.306
1,1116.7912301853303,799.1119570169415,1161.8379867572087,587.4633622142138,428.22433458878373,522.5836588065754,775.8273368585645,474.2635528606237,314.6648255534842,309.3296790814117,640.997773529716,945.9002489071785,1097.1940801684236,227.80182788968511,730.0231172884855,779.3752997816152,125.19050989359701,1052.7013712430487,521.6309653373318,234.1381671081359,968.8736625127688,530.2959146156729,1111.3351237745699,1372.9341607971892,2018.7182895660694,413.8648266090822,9266.882
2,880.9604177954241,723.0142497648216,911.6079619011331,454.04808153919197,376.64285403473514,313.82439670566475,970.7687289706905,611.6974135384722,340.8547458774441,443.80208739953616,372.7621769099959,1174.1568839836825,1328.9139254162164,60.77686993162641,979.531904631951,1036.798767732402,392.68800370294935,1312.4252911603755,788.4710347340798,501.0856513123825,1236.9975853384303,782.1895050080616,1379.8095275768296,1641.545103042448,2287.323986871748,635.7189054132925,8375.573
3,216.11082424599914,718.6886547573514,204.8286906388427,548.8391692231078,713.1305938978652,460.3182540051934,1452.3527489633298,1075.9772335190235,816.4159786283361,973.0445210355991,374.13509829121944,1707.1321389196928,1860.087059872555,734.1663308645059,1578.337202923276,1654.3522891573748,1084.3718413644824,1927.4137438375392,1449.1307531684602,1192.6848761685246,1896.121462095501,1486.9939180017411,2055.52648788018,2303.3545378256167,2955.8957372881923,1217.5674799779385,7751.544
4,2142.879439271372,1514.3995311426565,2230.4813840337874,1523.9232326951417,1342.439369844422,1596.8923666312453,660.5885740375694,988.5941928042981,1237.178564810096,1080.6447111134896,1809.2565022944057,396.15701236848594,303.8970762794322,1401.1921324986363,479.02567566681745,419.7158127201206,1091.4110023140108,156.57046146171442,694.6448903249249,1000.9453266324372,366.3414267009674,900.297187516923,451.6512885436299,432.9625014173833,998.9297935160254,839.3115362685934,7289.718
5,1365.225727006886,948.2393889538483,1419.2665182125118,793.0709987749423,607.9747652097961,769.8904912170744,636.6987187577281,469.085413363778,475.9282055249876,372.71296578346244,909.9967973794709,744.6636500573707,886.1194479058726,494.944490124076,500.2931257877646,532.6861005066921,147.31012340007047,798.417469330508,258.1641650179004,54.9062494434845,700.6900930585248,308.043435843876,842.5315159432837,1103.873514674943,1749.6601204487888,287.5792663089357,7020.95
6,1438.53135498998,793.7927284727574,1535.2964078350135,826.1502383446076,661.2149433503524,934.1706666492308,86.27700613500667,298.37303352487163,584.7755494880689,444.6402662491391,1185.9699972492665,340.5602302819429,490.00870433675584,824.4732288456477,331.84565852698717,425.43666300724345,645.0371460081765,633.4834862930968,482.0084060928303,619.4100107005808,720.7816993218001,774.5223347932416,910.6305863760922,1074.672549877352,1704.4752996514824,291.6114509391751,6897.198
7,528.25550254361,771.7298916667653,512.3924659319752,511.85581678311644,603.2479936823871,330.843685288422,1334.2411792161895,951.8699663192444,664.1191548305554,812.7526789952169,73.82686574503397,1567.4518676539806,1723.2680125555867,489.6076062616337,1400.3626570002948,1465.7955328637934,839.1195799982611,1742.3415059724396,1230.3570719025504,947.6144334443215,1680.1722203918437,1222.7457825963504,1825.9653269895853,2085.979654032732,2733.2113054793404,1042.5938901673528,6018.023
8,1759.950530805578,1080.8682544977328,1864.0329721232974,1160.333610923116,1006.5092018594576,1281.8579322419023,266.4305831426981,648.0244851516464,936.7517743788209,796.9834697540883,1537.975213508767,174.08356836226454,214.19107523806358,1174.7451653536107,418.1392422660647,467.8085447634648,962.331756331935,506.89104510902564,684.4358857615281,913.4871099228768,694.2312470038744,981.3878691036095,864.5474496558177,938.3511878164376,1507.2383223391062,615.9977989613157,5815.6230000000005
9,1080.890323021199,749.2284054365869,1130.0364898606495,540.8343111006068,378.7380788099937,485.253445390573,753.3617163946786,436.63630140476016,264.68906513920655,268.0396638661978,622.1621575066945,934.7967650255057,1087.7256793201698,205.68267049012348,728.4113497043936,782.9938409991177,157.09231168848305,1058.2195014021288,535.3539528916808,263.57394960295096,984.9448485867022,567.66900359809,1132.8236579172587,1390.7815538744476,2039.0238056709538,397.71145720668187,5663.007
10,824.4871923763405,301.48686430375045,917.6676575637431,208.2617711214099,96.0433203510775,347.65236574653863,697.7875048368459,330.1934679506421,187.44262760517117,289.25643746105794,629.3103278775645,956.900599742373,1107.882685738645,425.4510644688498,859.4164148654089,945.229865082523,576.4538732448891,1206.4145155581145,803.4717089090794,654.5125300273133,1217.869452591105,959.0081263162806,1395.8528259581337,1615.7179315857534,2265.9316519689773,517.3850024260564,3842.038
11,1279.8432220107588,642.5217814865993,1376.8578841010683,668.0256186423363,507.1034024248918,782.1915554997594,238.3407575528898,151.50157282292804,441.682899011313,317.085182283539,1041.2051100120264,499.15612151362114,648.4428142049321,699.6166419358872,452.63879084915334,546.6724959862103,578.5134482465448,778.7827642465926,526.492762203595,579.6245765343948,840.7771401121112,792.3790405751321,1029.5037935337562,1212.5897103781176,1850.2156540649867,255.1363436496268,3794.657
12,428.1110549834183,307.3757236861274,534.760515300032,210.15465748334526,402.32000325411707,299.502170001186,1087.0928466130651,732.0509348781364,532.210022971213,675.1604602760898,495.05521183792547,1351.9625516234405,1499.8309559950358,600.6488934323738,1261.9865273053867,1347.0506738913966,892.3054925241692,1609.1810625739113,1188.261945524358,989.9618030393327,1615.2351444006442,1300.5383616398324,1789.6570059628723,2015.9065107147012,2667.185293276759,914.9992324035588,3792.467
13,491.22038837825,282.4938102289419,591.6084689797793,139.13024865639446,331.32120810031256,251.16172022286452,1024.3272276896557,664.7676594709266,461.2161231640068,604.3751745770667,479.3621272698495,1287.7265153726255,1436.6699479975998,540.1910819973826,1193.100169478847,1277.6326728660524,823.6401836295654,1540.7944384698,1117.2495033876694,920.4107366661156,1544.7677794988165,1231.0846369884853,1718.8587265077276,1945.8636071887465,2597.40452249566,844.7795059707737,3638.535
14,961.7285789575911,507.80192992622455,1036.9725234386794,355.5761939938201,163.92192038618347,396.53090244000737,637.8550779346232,259.90522786428113,36.73383145008521,119.97033375507318,634.3630953014797,870.6274819185617,1026.2239264608577,301.3734846664041,725.1945206696338,802.2741027573862,370.50186864777226,1074.3513245928982,622.7888644606816,448.6821387321178,1056.2055403308336,755.2456080429487,1226.5873562158258,1460.8423484527925,2113.879217294813,364.78401591909835,3599.5130000000004
